Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
Posto Fiscal;Beta 309038;200;30;RS;209;69;Pinhal da Serra;22J;483116;6916602
U-467;N/A;210;80;RS;216;141;Maximiliano de Almeida;22J;420975;6943026
Três Vendas;N/A;200;125;RJ;219;162;Araruama;23K;773089;7468740
Caçador;TL/FATEC;220;20;SP;220;20;Itaí;22K;694918;7408964
Mendes 2;UGAMS 10586;220;20;MG;220;72;Felício dos Santos;23K;685454;8000328
RS-S-337;Beta 165627;220;40;RS;222;78;Santo Antonio da Patrulha;22J;545747;6699710
SC-CR-06;Beta 190312;220;40;SC;222;78;Celso Ramos;22J;466765;6943362
SC-CR-06;Beta 190312;220;40;SC;222;78;Celso Ramos;22J;466765;6943362
Cabeças 1;Beta 379288;230;30;MG;226;75;Felício dos Santos;23K;685454;8000328
Cabeças 2;Beta 379288;230;30;MG;226;75;Felício dos Santos;23K;685454;8000328
Emilio Barão;n/a;230;40;MG;228;82;Juiz de Fora;23K;670457;7592689
RS-VZ-12 ;SI-702;215;105;RS;230;159;Porto Lucena;21J;694985;6917464
Tapera Velha;Bah-1600;210;140;BA;230;169;Rodelas;24L;525639;9022157
RS-MJ-90;SI-2202;220;85;RS;233;150;Cachoeira do Sul;22J;316277;6675912
Cangas I;Datação 4541;234;30;GO;234;30;Aruanã;22K;491888;8350833
Toca da Baixa dos Caboclos;Beta-115612;230;50;PI;234;101;São Raimundo Nonato;23L;753628;9002823
Toca da Baixa dos Caboclos ;N/A;230;50;PI;234;101;Capitão Gervásio de Oliveira;24L;189854;9059504
Bataguaçu 4/ MS-PD-06;GIF 10038;240;30;MS;236;79;Bataguaçu;22K;352375;7597659
Cedro;Beta-324193;240;30;PA;236;79;Santarém;21M;746707;9707942
Fase Matapi;Beta-22752;230;80;RO ;238;148;Ji-Paraná;20L;617072;8796232
MS-PR-13;TL-USP;230;5;MS;239;10;Brasilândia;22K;392446;7649212
MT-SL-11;BETA-27427;230;70;MT;239;140;Rondonópolis ;21K;753108;8178076
