Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
Campo Bom III;UGAMS 32411;870;25;SC;762;31;Jaguaruna;22J;687680;6820337
Lapa do Pereiro;SI 2731;815;85;MG;763;83;Unaí;23K;296834;8190168
Paraíso;Bah-1595;810;150;BA;764;127;Rodelas;24L;525639;9022157
GO-NI-176;CENA 252;840;60;GO;769;71;Niquelândia;22L;773793;8398695
PA-AL-44 (Guará I);SI-7142;840;60;PA;769;71;Altamira;22M;365167;9645100
PA-AT-244;TL;832;70;PA;770;70;Canaã dos Carajás;22M;626972;9278040
Panaquatira;TL/FATEC;818;140;MA;770;140;São Luis;23M;582261;9718263
PR-UV-12 ;SI-892;810;90;PR;770;87;Catanduva;22J;282938;7210751
Rio do Meio ;Beta451662;870;30;SC;770;40;Florianópolis;22J;742672;6945385
MT-AX-02;SI-713;830;75;MT;771;80;São Félix do Araguaia;22L;536128;8715754
RO-JA-304-1;Beta-280927;860;40;RO ;771;54;Porto Velho;20L;400484;9031681
RS-VZ-43;SI-598;830;60;RS;773;69;Tenente Portela;22J;227359;6969400
RS-VZ-43;SI-598;830;60;RS;773;69;Tenente Portela;22J;227359;6969400
RFT 5;Beta 292584;850;40;SC;774;55;São Martinho;22J;698427;6882841
SC-AB-93D;Beta 190300;840;50;SC;774;63;Abdon Batista;22J;497448;6946117
Abrigo de Itapeva;Beta 432531;860;30;SP;776;42;Itapeva;22K;715802;7345928
Abrigo de Itapeva;Beta 432532;860;30;SP;776;42;Itapeva;22K;715802;7345928
Baggio 1;Beta 414086;860;30;SC;776;42;Campo Belo do Sul;22J;523684;6913713
MT-AX-01;SI-716;830;90;MT;776;88;São Félix do Araguaia;22L;536128;8715754
SC-CL-52;Beta 357350;860;30;SC;776;42;São José do Cerrito;22J;541548;6940122
Franco de Campos;TL;917;110;SP;780;110;Mogi-Guaçu;23K;299886;7525050
Panaquatira;TL/FATEC;804;250;MA;780;250;São Luis;23M;582261;9718263
BR-AM-MC-02;SI-4271;845;75;AM;782;82;Manicoré;20M;689292;9358198
RS-RG-04;SI-1005;845;75;RS;782;82;Rio Grande;22H;395962;6454813
RS-37-127;SI-606;840;60;RS;783;73;Caxias do Sul;22J;482140;6773960
PA-AL-44 (Guará I);SI-7143;850;85;PA;786;86;Altamira;22M;365167;9645100
PA-OR-63 (Boa Vista);Beta-190277;850;80;PA;786;84;Porto Trombetas;21M;569275;9837530
MG-GV-19;SI-824;855;70;MG;787;80;Nepomuceno;23K;475866;7651989
PA-AL-45 (Guará II);SI-7149;860;55;PA;787;74;Altamira;22M;365167;9645100
PR-CT-93;Beta 180904;850;50;PR;787;69;Mandirituba;22J;667812;7147687
Abrigo do Pilão;Beta-10604;860;60;BA;788;77;Central;23L;815523;8767408
Forte Marechal Luz;M 1205;850;100;SC;788;92;São Francisco do Sul;22J;736864;7094946
Toca do Vento;USP;866;45;PI;789;69;São Raimundo Nonato;23L;753628;9002823
RS-RG-4;SI-1005;845;75;RS;791;81;Rio Grande;22H;395962;6454813
RS-RG-4;SI-1005;845;75;RS;791;81;Rio Grande;22H;395962;6454813
PR-CT-53;Beta 22644;848;70;PR;792;79;Campo Largo;22J;647352;7182798
PR-UB-4;SI-2193;845;100;PR;792;92;Ubiratã;22J;298798;7284604
Abrigo Santana do Riacho;CDTN-1056;860;100;MG;793;92;Santana do Riacho;23K;635062;7879841
CD1 (T1/10-20);FATEC 156;863;100;MS;795;100;Anaurilândia;22K;322657;7545771
CD1 (T1/SUP);FATEC 150 ;863;95;MS;795;95;Anaurilândia;22K;322657;7545771
Piragiba;N/A;870;50;BA;795;72;Muquém de São Francisco;23L;643908;8650845
Ribeirão Vermelho 6;Beta 148697;870;60;MT;796;76;Cuiabá;21L;596897;8274866
PA-AL-45 (Guará II);SI-7145;870;85;PA;797;85;Altamira;22M;365167;9645100
Das Palmeiras;Beta-382247;880;30;RO ;799;61;São Felipe Doeste;20L;661865;8683380
Rolim 3;Beta-382254;880;30;RO ;799;61;Rolim de Moura;20L;633080;8703516
RS-LN-35 Bassani 1;SI-412;870;100;RS;799;91;Capão da Canoa;22J;594755;6706895
Valiati;Beta-382260;880;30;RO ;799;61;Ji-Paraná;20L;617072;8796232
Água Limpa;TL / FATEC;876;70;SP;800;70;Monte Alto;22K;759685;7646404
Barra do Turvo;TL/LVD-182;872;100;SP;800;100;Barra do Turvo;22J;752263;7259623
CD1 (T1/10-20);FATEC 139;873;100;MS;800;100;Anaurilândia;22K;322657;7545771
RO-JI-23B;N/A;880;60;RO ;802;75;Ji-Paraná;20L;617072;8796232
São Braz;Beta 116929;880;50;PI;803;71;São Raimundo Nonato;23L;753628;9002823
Antinha;TL;870;130;MG;804;108;Perdizes;23K;258680;7858930
Forte Marechal Luz;N/A;880;100;SC;804;91;São Francisco do Sul;22J;736834;7094708
Caçapava I;N/A;870;40;SP;805;65;Caçapava;23K;427786;7444931
RS-A-27;Beta 144244;870;50;RS;805;70;Vacaria;22J;506338;6846729
RS-A-27;Beta 144247;870;60;RS;805;74;Vacaria;22J;506338;6846729
RS-AN-3;Beta 183022;870;50;RS;805;70;Bom Jesus;22J;555456;6828282
Fazenda I;SI-5376;885;90;AM;806;85;Manicoré;20M;689292;9358198
MG-GV-19;SI-822;885;90;MG;806;85;Nepomuceno;23K;475866;7651989
RS-LN-35 ;SI-412;870;100;RS;806;90;Osório;22J;571516;6693268
Aquidauana 3;GIF-8680;890;50;MS;809;70;Aquidauana;21K;626756;7736552
Lapa do Boquete;N/A;890;50;MG;809;70;Januária;23L;567715;8288668
MT (Rio Jauru);Fatec/Unesp-227;900;85;MT (Pantanal);810;85;Caceres;21L;390667;8213700
Paquiçamba 2;Beta-335058;890;30;PA;810;65;Altamira;22M;365167;9645100
Serraria Trombetas;Beta-293289;890;30;PA;810;65;Itaituba;21M;637428;9521436
Brejo;Beta-260322;890;40;RO ;811;67;Porto Velho;20L;400484;9031681
Forte Mal. Luz (SC);UM-1202;880;100;SC;811;90;São Francisco do Sul;22J;736864;7094946
GO-CA-01;SI-2195;895;90;GO;811;85;Orizona;22K;787047;8114437
SC-AG-107 (Euclides Granzotto);N/A;880;70;SC;811;76;Anita Garibaldi;22J;487123;6937474
Areia Branca 5 ;Beta 24751;880;60;SP;812;72;Itapeva;22K;715802;7345928
Rio Facão 1;Beta 211735;880;40;SC;813;65;São Martinho;22J;698427;6882841
RS-AN-3;Beta 183020;880;40;RS;813;65;Bom Jesus;22J;555456;6828282
Lapa Pintada III;Beta 73231;900;50;MG;815;68;Montes Claros;23K;621649;8150075
Paço do Lumiar;N/A;908;77;MA;818;77;São Luís;23M;582261;9718263
Figueira;TL/FATEC;912;80;SP;820;80;Candido Mota;22K;563080;7484064
GO-NI-176;CENA 250;910;60;GO;820;69;Niquelândia;22L;773793;8398695
Lapa dos Bichos;Beta 100389;910;60;MG;820;69;Januária;23L;567715;8288668
MT (Rio Jauru);Fatec/Unesp-213;910;90;MT (Pantanal);820;90;Caceres;21L;390667;8213700
Terra Preta - PA00797;Beta-178444;910;60;PA;820;69;Cabana do Amorim;21M;701050;9690388
GO-JA-01;N-2346;915;75;GO;821;76;Serranópolis;22K;398462;7975631
Lapa do Santo;Beta 202764;910;50;MG;821;66;Matozinhos;23K;596454;7836861
RS-RG-2 ;SI-1190;890;40;RS;821;62;Rio Grande;22H;395962;6454813
RS-RG-2 ;SI-1190;890;40;RS;821;62;Rio Grande;22H;395962;6454813
RS-RG-2 ;SI-1190;890;40;RS;821;62;Rio Grande;22H;395962;6454813
BR-AM-NA-10;SI-6565;910;45;AM;822;64;Novo Aripuanã;20M;791085;9433455
Buracão dos Bichos;n/a;909;101;MG;822;90;Piumhi;23K;399404;7735480
Estiva 1;Beta 144859;920;70;MT;824;73;Cuiabá;21L;596897;8274866
Grande do Una;Beta 151851;920;60;RJ;825;68;Cabo Frio;23K;804645;7465895
PA-AL-45 (Guará II);Beta-21769;920;80;PA;825;78;Altamira;22M;365167;9645100
Baixo Rio d´Una ;Beta 396226;910;30;SC;826;60;Imbituba;22J;725013;6879712
MT-AX-08;GIF-3308;920;90;MT;826;84;São Félix do Araguaia;22L;536128;8715754
RS-MJ-53a;SI-1196;905;95;RS;826;86;Nova Palma;22J;260541;6737351
São Felipe 3;Beta-382256;910;30;RO ;826;60;São Felipe Doeste;20L;661865;8683380
SC-U-71;Beta 118377;900;50;RS;826;64;Maximiliano de Almeida;22J;420975;6943026
SC-PRV-02;CAMS-48545;920;50;SC;827;63;Florianópolis;22J;742672;6945385
GO-JA-01;SI-3690;925;60;GO;828;67;Serranópolis;22K;398462;7975631
Maracaju 1 ;IF/USP;929;80;MS;830;80;Maracaju;21K;689694;7608483
MT (Rio Jauru);Fatec/Unesp-206;920;90;MT (Pantanal);830;90;Caceres;21L;390667;8213700
Rezende;TL;929;80;MG;830;80;Centralina;22K;690223;7943584
RS-A-27;LVD 623;928;64;RS;830;64;Vacaria;22J;506338;6846729
Lapa do Boquete;CENA-163;930;80;MG;831;78;Januária;23L;567715;8288668
Vargem do Cedro 8;UGAMS-32431;900;25;SC;832;54;São Martinho;22J;698427;6882841
Lagoa do Custódio 1/MS-IV-08;FATEC 162;933;90;MS;835;90;Anaurilândia;22K;322657;7545771
Olho Dagua 1;Beta 280653;920;60;SC;836;65;Jaguaruna;22J;693036;6832441
Rio Facão 11;Beta 242801;910;40;SC;836;56;São Martinho;22J;698427;6882841
PR-SA-6;LACIVID-TL;935;60;PR;837;60;Curuíva;22J;555213;7341570
Lapa do Boquete;N/A;940;60;MG;838;64;Januária;23L;567715;8288668
RFT 5;Beta 292583;910;30;SC;839;51;São Martinho;22J;698427;6882841
MT-SL-44;BETA-27431;940;50;MT;840;58;Poxoréu;21L;779554;8247227
Paquiçamba 2;Beta-335060;930;30;PA;841;50;Altamira;22M;365167;9645100
Chã do Caboclo;MC 1052;945;85;PE;842;82;Bom Jardim ;25M;215130;9136871
PR-SM-17;Beta 256209;920;40;PR;842;54;São Mateus do Sul;22J;561468;7138671
RS-S-360;Beta 154354;920;40;RS;842;54;Santo Antonio da Patrulha;22J;545747;6699710
Campo Bom II;UGAMS 32412;930;25;SC;843;48;Jaguaruna;22J;687570;6820279
RO-AC-55-1;Beta-258151;940;40;RO ;843;52;Porto Velho;20L;400484;9031681
Igarapé do Engenho;Beta-260330;950;70;RO ;844;71;Porto Velho;20L;400484;9031681
MT-SL-43;BETA-27429;950;60;MT;844;64;Poxoréu;21L;779554;8247227
Brejo;Beta-294083;940;30;RO ;846;47;Porto Velho;20L;400484;9031681
Cabeças 3;Beta 400565;940;30;MG;846;47;Felício dos Santos;23K;685454;8000328
Eixo Bar 7 Fundão;LACUFF150056;922;33;PR;846;49;Foz do Jordão;22J;387502;7152727
Jaru 1;Beta-382249;940;30;RO ;846;47;Jaru;20L;557057;8846964
RFT 5;Beta 292579;920;30;SC;846;48;São Martinho;22J;698427;6882841
Galheta 4;Beta 28012;950;40;SC;848;51;Laguna;22J;716313;6838045
Lago Grande;Beta-143601;950;40;AM;848;51;Iranduba;20M;812255;9637535
Lapa da Foice;SI 4488;955;65;MG;848;67;Unaí;23K;296834;8190168
PR-CT-93;Beta 180903;940;70;PR;848;69;Mandirituba;22J;667812;7147687
BA-RC-28;SI-6291;955;85;BA;850;83;Correntina;23L;558019;8471723
Capisa;TL;916;150;SP;850;150;Iepê;22K;492257;7494008
Fazenda Marrecas 4;ANU-192-23;890;180;PR;850;160;Dr. Ulysses;22J;659856;7281933
Lago Grande;Beta-143602;950;30;AM;850;46;Iranduba;20M;812255;9637535
Riacho do Olho d'Água I;CSIC 884;960;60;PE;851;64;Floresta;24L;546073;9048265
GO-JU-04;SI-2768;960;75;GO;852;75;Serranópolis;22K;398462;7975631
Lapa do Santo;Beta 183572 ;960;70;MG;852;71;Matozinhos;23K;596454;7836861
Hatahara;Beta-143595;960;40;AM;854;51;Iranduba;20M;812255;9637535
Lago Grande;Beta-143607;960;30;AM;854;47;Iranduba;20M;812255;9637535
Porto PA-ST-42;n/a;960;30;PA;854;47;Santarém;21M;753116;9730567
RS-RP-164b;SI-4066;915;145;RS;854;130;Santa Cruz do Sul;22J;361433;6711632
SC-AG-76;Beta 190310;940;40;SC;854;52;Anita Garibaldi;22J;487123;6937474
RS-P-27;SI-812;950;80;RS;855;76;Bom Jesus;22J;555456;6828282
RS-T-123;Beta 343954;940;30;RS;856;48;Arvorezinha;22J;384810;6805649
Lapa do Dragão;GIF-4506;970;60;MG;859;64;Montalvânia;23L;568199;8405499
MS-MI-01;Beta 238763;970;60;MS;859;64;Miranda;21K;564792;7762123
Praia das Laranjeiras II;Beta426438;970;30;SC;859;49;Balneário Camboriú;22J;742672;6945385
Galheta 4;N/A;913;174;SC;860;158;Laguna ;22J;717027;6848366
PA-AL-45 (Guará II);SI-7148;940;130;PA;860;121;Altamira;22M;365167;9645100
Angico;SI 2342;973;65;PE;862;68;Bom Jardim ;25M;215130;9136871
RS-37-127;Beta 153841;960;60;RS;862;63;Caxias do Sul;22J;482140;6773960
Costão do Ilhote;Beta 211733;980;40;SC;865;55;Laguna ;22J;717027;6848366
Galheta 4;Beta 211734;980;40;SC;865;55;Laguna ;22J;717027;6848366
Paço do Lumiar;N/A;960;110;MA;865;110;São Luís;23M;582261;9718263
RO-AC-54-1;Beta-258149;980;40;RO ;865;55;Porto Velho;20L;400484;9031681
RO-JA-205-1;Beta-280925;980;40;RO ;865;55;Porto Velho;20L;400484;9031681
Alcobaça;CSIC 1438;980;25;PE;866;51;Buíque;24L;703071;9046155
Cacoal do Amanã;Beta-383582;980;30;AM;866;51;Maraã;20M;211932;9795095
Letreiro do Sobrado;CSIC 808;980;60;PE;866;66;Petrolândia;24L;585648;9009363
Aldeia do Carlos;TL;958;117;PI;869;113;São Raimundo Nonato;23L;753628;9002823
SC-AG-107 (Euclides Granzotto);N/A;970;60;SC;869;64;Anita Garibaldi;22J;487123;6937474
Água Limpa;TL/UNIFESP;982;70;SP;870;70;Monte Alto;22K;759685;7646404
Guaratiba;SI-433;970;100;RJ;870;100;Rio de Janeiro;23K;683978;7464847
Toca da Barra do Antonião;Beta-28832;985;65;PI;871;71;São Raimundo Nonato;23L;753628;9002823
Ilha de Santo Antonio;Beta-260332;990;40;RO ;873;57;Porto Velho;20L;400484;9031681
Cipoal do Araticum PA-OR-127;Beta-330920;990;30;PA;874;54;Porto Trombetas;21M;569275;9837530
Garbin;Beta-294086;990;30;RO ;874;54;Porto Velho;20L;400484;9031681
São Miguel do Cacau;Beta-383836;990;30;AM;874;54;Maraã;20M;211932;9795095
Pajeú;TL/FATEC;980;90;SP;875;90;Candido Mota;22K;563080;7484064
RS-T-123;Beta 385781;970;30;RS;875;51;Arvorezinha;22J;384810;6805649
Casa de Pedra;SI-227;910;200;SC;876;182;São Francisco do Sul;22J;736864;7094946
RFT 5;Beta 292580;980;50;SC;876;60;São Martinho;22J;698427;6882841
RS-U-02;SI-808;970;95;RS;878;94;São Francisco de Paula;22J;540583;6742270
SC-AG-75;Beta 190309;980;40;SC;878;55;Anita Garibaldi;22J;487123;6937474
SC-AG-75;Beta 190309;980;40;SC;878;55;Anita Garibaldi;22J;487123;6937474
Nunes ;TL;988;80;SP;879;80;Iepê;22K;492257;7494008
Brasilândia 11/ MS-PR-57;FATEC 255;989;80;MS;880;80;Brasilândia;22K;392446;7649212
Rio Lessa 3;N/A;1000;40;SC;881;59;Florianópolis;22J;742672;6945385
PA-AL-45 (Guará II);SI-7141;1000;55;PA;882;68;Altamira;22M;365167;9645100
Paquiçamba 2;Beta-335057;1000;30;PA;883;55;Altamira;22M;365167;9645100
Sol de Campinas do Acre;Beta-408408;1000;30;AC;883;55;Senador Guiomard;19L;638227;8878163
Xaxim(SC);SI-825;975;95;SC;883;96;Itapiranga;22J;231061;6992332
Estiva 3;LVD 1239;970;120;TO;884;121;Lajeado;22L;789924;8920712
PT-02;Beta 234206;990;40;RS;886;55;Pelotas;22J;374363;6489406
MT-FX-06;BETA-72261;1000;70;MT;887;80;Paranatinga;21L;817759;8403174
GO-RV-02;GAK-7265;980;110;GO;888;114;Jataí;22K;422846;8022379
Água Limpa;TL / FATEC;993;90;SP;890;90;Monte Alto;22K;759685;7646404
Arlindo Cruz;IF-40112(TL);971;130;SP;890;130;Itapeva;22K;715802;7345928
BR11 (AD1/50-60);FATEC 258;993;90;MS;890;90;Brasilândia;22K;392446;7649212
GO-JA-11;N.2349;1000;75;GO;890;84;Serranópolis;22K;398462;7975631
GO-JA-11;N-3111;1000;75;GO;890;84;Serranópolis;22K;398462;7975631
MT (Rio Jauru);Fatec/Unesp-214;990;90;MT (Pantanal);890;90;Caceres;21L;390667;8213700
Santa Rita do Pardo 2/ MS-PD-07;FATEC 403;993;90;MS;890;90;Santa Rita do Pardo;22K;310125;7643038
Saloba;SI-472;978;120;BA;891;124;Curaçá;24L;400445;9003491
SP-AS-14 (Porto Casanova 2);SI-709;980;100;SP;892;103;Iepê;22K;492257;7494008
Rio Facão 1;Beta 235321;1000;50;SC;893;63;São Martinho;22J;698427;6882841
BR-AM-NA-16;SI-6576;1015;45;AM;895;64;Novo Aripuanã;20M;791085;9433455
RS-AN-3;Beta 166588;1000;40;RS;895;55;Bom Jesus;22J;555456;6828282
Céu Azul;SI-1576;1000;65;PR;896;74;São José dos Pinhais;22J;702345;7173415
Vargem do Cedro 2;UGAMS-32433;990;25;SC;897;43;São Martinho;22J;698427;6882841
Brasilândia 11/ MS-PR-57;FATEC 251;1002;90;MS;900;90;Brasilândia;22K;392446;7649212
GO-CP-06;SI-6742;1020;40;GO;902;58;Palestina de Goiás;22K;443750;8148739
Lago do Jacare 1 PA00795;Beta-178444;1020;50;PA;902;69;Cabana do Amorim;21M;696813;9686838
N5E-006;Beta-205580;1020;40;PA;902;58;Parauapebas;22M;623509;9327859
Barro Branco 15;Beta 207852;1010;50;SP;904;64;Ribeirão Grande;22K;791529;7557017
Vamiranga;Bah- 369;1015;70;SP;905;87;Iguape;23J;241209;7265115
Alvim ;TL;1007;90;SP;906;90;Pirapozinho;22K;448466;7536571
Cercado;MC 1033;1010;85;PE;907;100;Bom Jardim ;25M;215130;9136871
PT-02;Beta 234207;1010;40;RS;908;52;Pelotas;22J;374363;6489406
PT-02;Beta 234207;1010;40;RS;908;52;Pelotas;22J;374363;6489406
GO-CP-34;SI-6744;1020;65;GO;909;85;Palestina de Goiás;22K;443750;8148739
MS-PR-90;TL-USP;1014;80;MS;909;80;Três Lagoas;22K;427308;7701084
Peroba;TL/FATEC;1014;100;SP;917;100;Candido Mota;22K;563080;7484064
Grão Pará 14;Beta 242799;1020;50;SC;919;62;São Martinho;22J;698427;6882841
Paço do Lumiar;N/A;990;160;MA;920;160;São Luís;23M;582261;9718263
Laguinho;Beta-258147;1030;40;AM;925;48;Iranduba;20M;812255;9637535
Terra Queimada;Beta-230195;1030;40;RO ;925;48;Ji-Paraná;20L;617072;8796232
Cipó;Fatec/tl;1025;100;MT;927;116;Rondonópolis ;21K;753108;8178076
Almeida ;TL;1028;100;SP;930;100;Tejupá;22K;668967;7411120
CD1 (T3/40);FATEC 166;1024;110;MS;930;110;Anaurilândia;22K;322657;7545771
Conj. Vilas;Beta-386835;1030;30;AM;936;26;Tefé;20M;308814;9629688
Brejo;Beta-260325;1040;60;RO ;937;84;Porto Velho;20L;400484;9031681
Chã do Caboclo;MC 7;1040;60;PE;937;84;Bom Jardim ;25M;215130;9136871
SC-IÇ-01;Beta - 72197;1040;60;SC;937;84;Içara ;22J;665904;6822473
MT (Rio Jauru);Fatec/Unesp-210;1040;100;MT (Pantanal);940;100;Caceres;21L;390667;8213700
Fazenda Marrecas 6;ANU-192-26;990;190;PR;941;188;Dr. Ulysses;22J;659856;7281933
Camargo ;LRA;1030;85;SP;942;105;Piraju;22K;665731;7433591
PR-SM-17;Beta 256210;1030;50;PR;942;54;São Mateus do Sul;22J;561468;7138671
Furna do Estrago;SI-6295;1040;50;PE;943;67;Brejo da Madre de Deus;24L;789339;9098706
MT (Rio Jauru);Fatec/Unesp-216;1042;100;MT (Pantanal);945;110;Caceres;21L;390667;8213700
Água Limpa;TL/UNIFESP;1020;175;SP;950;175;Monte Alto;22K;759685;7646404
Brejo;Beta-260323;1040;40;RO ;950;42;Porto Velho;20L;400484;9031681
Lagoa do Custódio 1/MS-IV-08;FATEC 163;1041;115;MS;950;115;Anaurilândia;22K;322657;7545771
MT (Rio Jauru);Fatec/Unesp-208;1045;100;MT (Pantanal);950;100;Caceres;21L;390667;8213700
PR-UV-03;SI-803;1035;90;PR;950;111;União da Vitória;22J;494313;7099268
RS-A-27;LVD 624;1051;72;RS;950;72;Vacaria;22J;506338;6846729
RS-T-123;Beta 343953;1040;30;RS;954;26;Arvorezinha;22J;384810;6805649
Alves;TL;1052;100;SP;955;100;Piraju;22K;665731;7433591
PA-AL-45 (Guará II);SI-7174;1050;60;PA;955;76;Altamira;22M;365167;9645100
Russinhos;?;1050;60;MG;955;76;Itacarambi;23L;597449;8331069
Praia da Tapera;SI-246;1030;180;SC;959;181;Florianópolis;22J;742672;6945385
Alves;TL;1056;100;SP;960;100;Piraju;22K;665731;7433591
Paço do Lumiar;N/A;1045;130;MA;960;130;São Luís;23M;582261;9718263
Aldeia do Carlos;TL;1056;103;PI;962;124;São Raimundo Nonato;23L;753628;9002823
Derby;MC 1078;1050;120;PE;962;139;Bom Jardim ;25M;215130;9136871
GO-NI-06;GAK-7267;1060;90;GO;962;111;Niquelândia;22L;773793;8398695
Grande do Una;SI-436;1060;90;RJ;962;111;Cabo Frio;23K;804645;7465895
RFT 5;Beta 292581;1050;30;SC;962;28;São Martinho;22J;698427;6882841
MT (Rio Jauru);Fatec/Unesp-206;1060;100;MT (Pantanal);965;100;Caceres;21L;390667;8213700
PA-AL-45 (Guará II);Beta-21770;1060;70;PA;965;83;Altamira;22M;365167;9645100
Lago Grande;Beta-143600;1050;40;AM;967;47;Iranduba;20M;812255;9637535
Grande do Una;N/A;1065;90;RJ;969;111;Cabo Frio;23K;804645;7465895
Eixo Bar Piraquara;LACUFF150048;1051;37;PR;970;36;Piraquara;22J;694572;7184362
Fonseca;TL/IF/USP;1063;100;SP;970;100;Itaberá;22K;689361;7359545
SC-AG-76;Beta 190308;1050;40;SC;971;40;Anita Garibaldi;22J;487123;6937474
Tapera ;SI-246;1030;180;SC;971;183;Florianópolis;22J;742672;6945385
GO-NI-176;CENA 241;1060;60;GO;974;66;Niquelândia;22L;773793;8398695
Ferraz Egreja;Gif-10048;1060;40;MT;977;50;Rondonópolis ;21K;753108;8178076
Laguinho;Beta-258145;1060;40;AM;977;50;Iranduba;20M;812255;9637535
Alvim ;TL;1070;100;SP;978;100;Pirapozinho;22K;448466;7536571
GO-CP-02;SI-2771;1070;105;GO;980;128;Palestina de Goiás;22K;472585;8204715
Jango Luis ;N/A;1071;100;SP;980;100;Angatuba;22K;764344;7399537
RS-LN-35 Bassani 1;SI-413;1070;110;RS;980;133;Capão da Canoa;22J;594755;6706895
Santa Rita do Pardo 2/ MS-PD-07;FATEC 402;1071;100;MS;980;100;Santa Rita do Pardo;22K;310125;7643038
Hatahara;Beta-143596;1070;70;AM;983;75;Iranduba;20M;812255;9637535
Palmeira;Beta-382250;1070;30;RO ;983;46;Parecis;20L;651907;8653034
Cavidade 129;N/A;1070;40;PA;985;49;Parauapebas;22M;623509;9327859
Galheta 4;Beta 28011;1070;40;SC;985;49;Laguna;22J;716313;6838045
MS-MI-06;Beta 238768;1070;60;MS;985;63;Miranda;21K;564792;7762123
N4WS-010;Beta-215059;1070;40;PA;985;49;Parauapebas;22M;623509;9327859
NV-10;Beta-210856;1070;40;PA;985;49;Parauapebas;22M;623509;9327859
Pedra Pintada RR;Beta-30743;1070;50;RR;985;55;Pedra Pintada;20N;733701;429010
Boa Esperança;Beta-321196;1080;30;AM;990;46;Barcelos;20M;303058;9727829
MT (Rio Jauru);Fatec/Unesp-221;1075;80;MT (Pantanal);990;100;Caceres;21L;390667;8213700
Posto Fiscal;Beta 303594;1070;40;RS;990;44;Pinhal da Serra;22J;483116;6916602
Hatahara;Beta-143598;1080;40;AM;992;48;Iranduba;20M;812255;9637535
Lapa do Santo;Beta 280491;1080;40;MG;992;48;Matozinhos;23K;596454;7836861
Rincão dos Albinos (SC-CL-70);Beta 297429;1080;30;SC;992;40;São José do Cerrito;22J;541548;6940122
Terra Queimada;Beta-230196;1080;40;RO ;992;48;Ji-Paraná;20L;617072;8796232
Arroio da Cruz I;Beta 209703;1080;60;SC;994;62;Jaguaruna;22J;687376;6820113
Fase Aratu;SI-542;1080;90;BA;995;106;Salvador;24L;555211;8563845
MT (Rio Jauru);Fatec/Unesp-220;1079;100;MT (Pantanal);995;100;Caceres;21L;390667;8213700
RS-RG-01;SI-1192;1080;90;RS;995;106;Rio Grande;22H;395962;6454813
Arqueiros;Gif-11727;1090;35;MT;997;45;Rondonópolis ;21K;753108;8178076
Conj. Vilas;Beta-406076;1090;30;AM;997;43;Tefé;20M;308814;9629688
PA-AL-45 (Guará II);Beta-27419;1080;80;PA;997;89;Altamira;22M;365167;9645100
Condor;SI-695;1065;95;PR;999;119;Indianópolis;22K;326508;7402470
Arlindo Cruz;IF-40114(TL);1084;100;SP;1000;100;Itapeva;22K;715802;7345928
Brasilândia 11/ MS-PR-57;FATEC 253;1084;100;MS;1000;100;Brasilândia;22K;392446;7649212
MT (Rio Jauru);Fatec/Unesp-207;1085;100;MT (Pantanal);1000;110;Caceres;21L;390667;8213700
Alcobaça;CSIC 1435;1099;26;PE;1003;40;Buíque;24L;703071;9046155
Lago Grande;Beta-143605;1100;30;AM;1003;41;Iranduba;20M;812255;9637535
Mapium ;7099;1100;30;PA;1003;41;Oriximiná;21M;626459;9805236
MT-SL-03;N-5113;1090;60;MT;1004;62;Rondonópolis ;21K;753108;8178076
Osvaldo;Beta-143626;1100;40;AM;1004;46;Iranduba;20M;812255;9637535
PA-AL-45 (Guará II);Beta-27025;1090;60;PA;1004;62;Altamira;22M;365167;9645100
Sambaqui da Dorva;Beta-244550;1100;40;RS;1004;46;Três Cachoeiras;22J;604504;6741052
Zé Preto ;SI 5503;1095;50;MG;1004;53;Varzelândia;23L;604248;8263819
BA-RG-3;GIF-1440;1081;250;BA;1006;230;São Desidério;23L;502474;8632934
GO-RV-02;GAK-7266;1090;110;GO;1006;130;Jataí;22K;422846;8022379
RS-AN-3;Beta 178135;1070;70;RS;1006;78;Bom Jesus;22J;555456;6828282
RS-LN-35 ;SI-413;1070;100;RS;1006;124;Osório;22J;571516;6693268
SC-U-69;SI-549;1070;100;SC;1006;124;Itapiranga;22J;231061;6992332
Jericoacoara I ou Serrote;;1110;30;CE;1008;40;Jericoacora;24M;331682;9690752
Serrote 1;Beta 290956;1110;30;CE;1008;40;Jericoacoara;24M;331682;9690752
Teotônio;Beta-474439;1110;30;RO ;1008;40;Porto Velho;20L;400484;9031681
Fonseca;TL/IF/USP;1091;100;SP;1010;100;Itaberá;22K;689361;7359545
MT-SL-31;N-5115;1090;75;MT;1010;82;Poxoréu;21L;779554;8247227
Alcobaça;CSIC 1442;1118;24;PE;1011;36;Buíque;24L;703071;9046155
Lapa do Dragão;CDTN-1004;1100;200;MG;1014;198;Montalvânia;23L;568199;8405499
MT-SL-44;BETA-27430;1100;60;MT;1014;65;Poxoréu;21L;779554;8247227
MS-PR-64;TL-USP;1094;75;MS;1015;75;Três Lagoas;22K;427308;7701084
Brejo;Beta-260326;1120;40;RO ;1019;48;Porto Velho;20L;400484;9031681
Abrigo do Jon;Beta 329693;1130;30;TO;1021;41;Palmas;22L;793117;8866530
Alves;TL;1098;100;SP;1021;100;Piraju;22K;665731;7433591
